"Navn";"Veg";"ADT"
"Kjørbotunnelen ";"E16";32100
"EV 18 V/ MASTEMYR";"E18";17800
"MARITIM-510B";"E18";84100
"VINTERBRU";"E18";29200
"LYSAKERLOKKET";"E18";76200
"STARTOUR";"E18";89600
"GYSSESTAD";"E18";83500
"E6 V/KARIHAUGEN";"E6";51000
"Helsfyr";"E6";70000
"Klemetsrud";"E6";50400
"LEIRELVA BRU";"E6";65200
"KLØFTA SØR";"E6";60800
"HVAM SØR";"E6";76200
"ROÅS";"F152";11000
"BEKKESTUTUNNEL";"F160";9200
"OSLO GRENSE";"F160";10900
"BÆRUM RINGSTADBEKK";"F160";9100
"Forneboveien";"F166";23200
"LOMMEDALSVEIEN";"F168";9600
"LYSAKERELVA";"F168";11900
"VOLLSVEIEN";"F610";3900
"Rv 150 Grefsen";"R150";68900
"ST.RINGV V/NYDALSBR";"R150";62100
"Gaustad";"R150";58500
"RV159 VAREMESSA";"R159";20800
"RÆLINGSTUNNELLEN";"R159";30700
"VATERLANDTUNNELEN";"R162";12500
"Kong Håkon 5.s gt Sydgående";"R162";11600
"GRORUD STASJON";"R163";26700
"STATOIL";"R22";18500
"SKEDSMO STRANDEN";"R22";11900
"AMMERUD";"R4";25800
"GJELLERÅSEN";"R4";19800
